#curie_map:
#  CHMO: http://purl.obolibrary.org/obo/CHMO_
#  FIX: http://purl.obolibrary.org/obo/FIX_
#mapping_set_id: https://github.com/NFDI4Chem/rsc-cmo/blob/Add-definition-sources-and-mappings/src/mappings/fix-mappings.tsv
#mapping_set_version:	1.0
#mapping_set_title: Mapping CHMO to FIX
#mapping_set_description: This file contains the mappings between the Chemical Methods Ontology (CHMO) and FIX. These mappings were manually created/curated by Ambika Gupta and reviewed by Philip Strömert & Colin Batchelor. The intended use case of this mapping set is the data integration of RDF knowledge graphs (KGs) that use Wikidata and are to be transformed into RDF KGs that use CHMO or vice versa.
#creator_id:
#	- https://orcid.org/0009-0009-1663-1003
#	- https://orcid.org/0000-0002-1595-3213
#	- https://orcid.org/0000-0001-5985-7429
#subject_source:	http://purl.obolibrary.org/obo/chmo.owl
#subject_source_version:
#object_source:	http://purl.obolibrary.org/obo/FIX_
#mapping_provider: http://purl.obolibrary.org/obo/chmo.owl
#mapping_date: 05-2025
#issue_tracker:
#license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	confidence	comment
CHMO:0000003	electrochemical analysis	skos:exactMatch	FIX:0000764	electroanalytical method	semapv:ManualMappingCuration	https://orcid.org/0009-0009-1663-1003	0.8
CHMO:0000011	high-frequency conductometry	skos:exactMatch	FIX:0000773	high frequency conductometry	semapv:ManualMappingCuration	https://orcid.org/0009-0009-1663-1003	0.8
CHMO:0000056	Raman microscopy	skos:exactMatch	FIX:0000697	Raman imaging	semapv:ManualMappingCuration	https://orcid.org/0009-0009-1663-1003	0.8
CHMO:0000057	luminescence detection	skos:exactMatch	FIX:0000427	chemiluminescence method	semapv:ManualMappingCuration	https://orcid.org/0009-0009-1663-1003	0.8
CHMO:0000067	microscopy	skos:exactMatch	FIX:0000005	microscopy	semapv:ManualMappingCuration	https://orcid.org/0009-0009-1663-1003	0.8
CHMO:0000068	electron microscopy	skos:exactMatch	FIX:0000051	electron microscopy	semapv:ManualMappingCuration	https://orcid.org/0009-0009-1663-1003	0.8
CHMO:0000073	scanning electron microscopy	skos:exactMatch	FIX:0000124	scanning electron microscopy	semapv:ManualMappingCuration	https://orcid.org/0009-0009-1663-1003	0.8
CHMO:0000080	transmission electron microscopy	skos:exactMatch	FIX:0000126	transmission electron microscopy	semapv:ManualMappingCuration	https://orcid.org/0009-0009-1663-1003	0.8
CHMO:0000087	fluorescence microscopy	skos:exactMatch	FIX:0000123	fluorescence microscopy	semapv:ManualMappingCuration	https://orcid.org/0009-0009-1663-1003	0.8
CHMO:0000097	ion microscopy	skos:exactMatch	FIX:0000962	ion microscopy	semapv:ManualMappingCuration	https://orcid.org/0009-0009-1663-1003	0.8
CHMO:0000101	scanning ion microscopy	skos:exactMatch	FIX:0000963	scanning ion microscopy	semapv:ManualMappingCuration	https://orcid.org/0009-0009-1663-1003	0.8
CHMO:0000102	optical microscopy	skos:exactMatch	FIX:0000113	optical microscopy	semapv:ManualMappingCuration	https://orcid.org/0009-0009-1663-1003	0.8
